ID1,BATHROOM_1,AGE_1,TOT_SQ_F_1,TOTAL_AC_1,NEWHOME_1,POSTFIRM_1,DFLOOD_A_1,DFLOOD_X_1,FIRSTROW_1,DISTAMEN_1,DISTCBD1_1,DISTHWY_1,DISTPARK_1,PRICE
103,3,3,1188,1.223,1,1,1,0,0,3314.811,46516.432,13293.982,27401.529,127700
132,1.5,21,1360,1.017,1,1,1,0,0,3210.323,46348.938,13173.667,27309.048,119900
154,1.5,44,860,0.414,1,0,1,0,1,278.496,40822.766,1658.465,12657.885,118700
156,2,24,2421,1.686,1,1,1,0,1,342.759,40662.895,1504.1,12591.199,591400
159,3,38,2853,1.403,1,0,1,0,0,635.146,40595.817,1459.91,12760.21,612600
160,2,24,1917,1.977,1,1,1,0,0,2874.833,45794.931,12799.058,27032.859,217400
162,1,94,594,21.68,1,0,1,0,1,1615.016,46237.834,14007.28,28430.08,176600
163,2,25,1364,0.697,0,1,0,0,0,1334.249,40687.543,1597.123,13344.795,150400
164,2,27,2352,0.942,1,1,1,0,1,342.127,40483.416,1324.358,12462.926,532900
166,2,25,1280,0.932,1,1,0,0,0,1421.598,40549.351,1463.734,13316.027,130600
168,1,46,1324,1.316,0,0,1,0,0,2796.998,45511.905,12574.475,26851.268,112500
171,2,7,1256,1.283,0,1,0,0,1,334.908,40173.97,1011.579,12218.176,247200
174,1,94,1124,1.398,1,0,0,0,0,1467.233,40303.627,1220.119,13180.924,116700
178,1.5,24,1071,0.459,1,1,0,0,0,1708.505,40336.416,1265.247,13390.045,100000
181,1.5,57,1769,0.715,1,0,1,0,0,1149.382,40062.679,959.352,12758.02,180300
182,2,26,1232,0.826,1,1,0,0,0,1731.274,40177.774,1107.075,13293.568,120900
188,2,32,1970,0.895,1,0,1,0,0,1324.301,40017.192,924.311,12862.062,233600
189,4,40,3060,1.187,0,0,1,0,0,694.785,39934.367,800.601,12328.077,793800
191,1,94,1320,1.64,1,0,1,0,0,1002.656,39856.326,745.583,12531.756,136700
193,2,41,1624,0.981,1,0,0,0,0,1469.079,39938.564,855.824,12952.154,174500
194,1,95,1521,0.641,1,0,0,1,0,1785.882,39988.75,922.074,13238.824,155300
196,2,22,1740,4.04,1,1,1,0,1,351.821,39493.927,344.169,11873.424,332600
204,2,64,2806,0.429,1,0,1,0,0,1168.966,39726.067,630.626,12638.387,498500
206,2,49,1540,2.51,0,0,0,0,0,1117.392,39654.903,557.951,12572.635,181500
211,2.5,9,2436,6.69,1,1,0,1,0,2142.841,39742.281,697.365,13523.418,488400
212,1,54,990,0.479,1,0,0,1,0,1787.569,39786.112,724.39,13198.772,78100
213,1,52,1421,0.351,1,0,0,1,0,1572.326,39697.552,627.02,12987.975,120000
216,1,21,1144,0.506,1,1,0,1,0,1742.956,39665.527,604.82,13142.257,98200
226,2,54,1670,0.842,0,0,0,1,0,1898.527,39536.93,486.086,13266.292,173300
230,1,28,1612,0.669,0,1,0,1,0,1732.148,39328.224,274.429,13074.613,158200
233,1,58,1036,0.239,1,0,0,1,0,1518.981,39281.915,219.518,12874.409,82300
237,1,26,200,4.06,1,1,1,0,1,272.566,38772.309,354.78,11653.859,68800
249,1.5,44,1324,0.706,1,0,0,1,0,1574.09,38765.272,286.803,12776.977,115400
251,3,3,2052,0.63,1,1,0,1,0,1936.853,38704.34,184.496,13061.198,304000
253,1,29,1272,1.023,1,1,0,1,0,1847.772,38622.993,289.701,12959.093,107200
261,1,59,930,15.25,1,0,1,0,1,861.834,43780.07,12532.449,27462.481,177500
264,1,39,1518,4.71,1,0,1,0,1,1372.635,43604.703,12112.155,26861.702,213000
