ID,COORDS_X,COORDS_Y,AGE,BEDROOMS,HOUSESIZE,LOTSIZE,NEWHOME,DFLOOD100,DFLOOD500,PROXAMEN,DISTAMEN,DISTCBD,DISTHWY,DISTPARK,RESID,AGEnorm,HOUSESIZEnorm,LOTSIZEnorm,BEDROOMSnorm,RESIDnorm,PRICE
16,2693410.62171449,401991.659089599,6,3,3510,2.508,1,1,0,8040.029,406.592,41940.386,2784.69,13542.926,0.0904189761808408,0.981684981684982,0.565878378378378,0.687412381013621,0.1,0.764151012271877,365000
103,2709210.56189728,401444.123218116,3,2,1188,1.223,1,1,0,5131.81,3314.811,46516.432,13293.982,27401.529,-1.0800795079338,0.992673992673993,0.173648648648649,0.608013761208091,0.0666666666666667,0.598423118337306,37200
132,2709168.50275652,401276.847956374,21,3,1360,1.017,1,1,0,5236.298,3210.323,46348.938,13173.667,27309.048,-1.07651509873706,0.926739926739927,0.202702702702703,0.587621826159629,0.1,0.598927793941174,46300
154,2693211.90832243,400998.657286077,44,3,860,0.414,1,1,0,8168.125,278.496,40822.766,1658.465,12657.885,0.143858179036443,0.842490842490843,0.118243243243243,0.488260457025022,0.1,0.771717332658443,108700
156,2693242.10076634,400845.584182053,24,3,2421,1.686,1,1,0,8103.862,342.759,40662.895,1504.1,12591.199,0.140426817361973,0.915750915750916,0.381925675675676,0.643507829145651,0.1,0.771231494913793,288100
159,2693498.17796273,400727.369167505,38,4,2853,1.403,1,1,0,7811.475,635.146,40595.817,1459.91,12760.21,0.0647898251144857,0.864468864468864,0.454898648648649,0.623193689928891,0.133333333333333,0.760522246163076,333600
160,2709048.91263324,400707.952610721,24,3,1917,1.977,1,1,0,5571.788,2874.833,45794.931,12799.058,27032.859,-1.05955793951629,0.915750915750916,0.296790540540541,0.66111066370216,0.1,0.601328714850437,69300
162,2710599.15642585,400332.726303006,94,1,594,21.68,1,1,0,6831.605,1615.016,46237.834,14007.28,28430.08,-1.06744728493404,0.659340659340659,0.0733108108108108,0.925870064136477,0.0333333333333333,0.600211682561757,35800
163,2694252.25004495,400691.227904949,25,3,1364,0.697,0,0,0,7112.372,1334.249,40687.543,1597.123,13344.795,-0.16298208191755,0.912087912087912,0.203378378378378,0.545850971082005,0.1,0.728272602987816,94000
164,2693211.60676474,400666.536755174,27,4,2352,0.942,1,1,0,8104.494,342.127,40483.416,1324.358,12462.926,0.149474543235899,0.904761904761905,0.37027027027027,0.579152486770094,0.133333333333333,0.77251253933575,277200
