ID,COORDS_X,COORDS_Y,AGE,BATHROOMS,HOUSESIZE,LOTSIZE,NEWHOME,POSTFIRM,DFLOOD100,DFLOOD500,FIRSTROW,PROXAMEN,DISTAMEN,DISTCBD,DISTHWY,DISTPARK,PRICE
103,2709210.56189728,401444.123218116,3,3,1188,1.223,1,1,1,0,0,5131.81,3314.811,46516.432,13293.982,27401.529,127700
132,2709168.50275652,401276.847956374,21,1.5,1360,1.017,1,1,1,0,0,5236.298,3210.323,46348.938,13173.667,27309.048,119900
154,2693211.90832243,400998.657286077,44,1.5,860,0.414,1,0,1,0,1,8168.125,278.496,40822.766,1658.465,12657.885,118700
156,2693242.10076634,400845.584182053,24,2,2421,1.686,1,1,1,0,1,8103.862,342.759,40662.895,1504.1,12591.199,591400
159,2693498.17796273,400727.369167505,38,3,2853,1.403,1,0,1,0,0,7811.475,635.146,40595.817,1459.91,12760.21,612600
160,2709048.91263324,400707.952610721,24,2,1917,1.977,1,1,1,0,0,5571.788,2874.833,45794.931,12799.058,27032.859,217400
162,2710599.15642585,400332.726303006,94,1,594,21.68,1,0,1,0,1,6831.605,1615.016,46237.834,14007.28,28430.08,176600
163,2694252.25004495,400691.227904949,25,2,1364,0.697,0,1,0,0,0,7112.372,1334.249,40687.543,1597.123,13344.795,150400
164,2693211.60676474,400666.536755174,27,2,2352,0.942,1,1,1,0,1,8104.494,342.127,40483.416,1324.358,12462.926,532900
166,2694290.38663874,400541.143797036,25,2,1280,0.932,1,1,0,0,0,7025.023,1421.598,40549.351,1463.734,13316.027,130600
168,2708979.12462026,400460.273209128,46,1,1324,1.316,0,0,1,0,0,5649.623,2796.998,45511.905,12574.475,26851.268,112500
171,2693112.86254507,400344.699362128,7,2,1256,1.283,0,1,0,0,1,8111.713,334.908,40173.97,1011.579,12218.176,247200
174,2694265.54046398,400291.916060377,94,1,1124,1.398,1,0,0,0,0,6979.388,1467.233,40303.627,1220.119,13180.924,116700
178,2694516.0549477,400278.233481512,24,1.5,1071,0.459,1,1,0,0,0,6738.116,1708.505,40336.416,1265.247,13390.045,100000
181,2693880.82071799,400122.678248882,57,1.5,1769,0.715,1,0,1,0,0,7297.239,1149.382,40062.679,959.352,12758.02,180300
182,2694492.7416762,400125.219126522,26,2,1232,0.826,1,1,0,0,0,6715.347,1731.274,40177.774,1107.075,13293.568,120900
188,2694060.14247265,400036.616792537,32,2,1970,0.895,1,0,1,0,0,7122.32,1324.301,40017.192,924.311,12862.062,233600
